ID,RET
418595,True
418596,False
418597,True
418598,True
418599,False
418600,False
418601,False
418602,False
418603,False
418604,True
418605,True
418606,True
418607,False
418608,False
418609,False
418610,True
418611,True
418612,True
418613,False
418614,True
418615,False
418616,False
418617,False
418618,True
418619,False
418620,False
418621,False
418622,True
418623,True
418624,False
418625,False
418626,True
418627,True
418628,True
418629,False
418630,False
418631,False
418632,True
418633,False
418634,False
418635,True
418636,False
418637,False
418638,False
418639,False
418640,False
418641,True
418642,False
418643,True
418644,True
418645,True
418646,True
418647,False
418648,True
418649,True
418650,True
418651,True
418652,False
418653,False
418654,True
418655,True
418656,False
418657,True
418658,False
418659,False
418660,True
418661,True
418662,True
418663,False
418664,False
418665,False
418666,True
418667,True
418668,True
418669,True
418670,True
418671,False
418672,False
418673,True
418674,True
418675,True
418676,True
418677,False
418678,True
418679,True
418680,True
418681,True
418682,True
418683,True
418684,True
418685,True
418686,False
418687,True
418688,False
418689,True
418690,False
418691,True
418692,True
418693,True
418694,False
418695,True
418696,False
418697,True
418698,False
418699,True
418700,False
418701,False
418702,False
418703,False
418704,False
418705,True
418706,False
418707,True
418708,False
418709,True
418710,False
418711,False
418712,False
418713,True
418714,False
418715,True
418716,True
418717,True
418718,False
418719,False
418720,False
418721,True
418722,False
418723,True
418724,False
418725,True
418726,True
418727,True
418728,False
418729,True
418730,True
418731,False
418732,False
418733,False
418734,False
418735,False
418736,True
418737,True
418738,True
418739,False
418740,False
418741,False
418742,True
418743,True
418744,True
418745,False
418746,True
418747,False
418748,False
418749,True
418750,False
418751,False
418752,True
418753,False
418754,False
418755,False
418756,True
418757,False
418758,False
418759,True
418760,False
418761,False
418762,False
418763,True
418764,False
418765,False
418766,False
418767,False
418768,True
418769,False
418770,False
418771,True
418772,False
418773,False
418774,False
418775,True
418776,False
418777,False
418778,False
418779,False
418780,False
418781,False
418782,True
418783,False
418784,False
418785,False
418786,False
418787,False
418788,True
418789,True
418790,True
418791,True
418792,False
418793,True
418794,False
418795,True
418796,False
418797,False
418798,True
418799,False
418800,False
418801,True
418802,True
418803,True
418804,False
418805,False
418806,False
418807,False
418808,False
418809,False
418810,False
418811,False
418812,False
418813,False
418814,False
418815,True
418816,True
418817,False
418818,True
418819,True
418820,False
418821,True
418822,False
418823,False
418824,False
418825,False
418826,False
418827,False
418828,False
418829,True
418830,False
418831,False
418832,False
418833,True
418834,False
418835,True
418836,True
418837,True
418838,True
418839,True
418840,True
418841,True
418842,False
418843,True
418844,True
418845,True
418846,False
418847,False
418848,False
418849,True
418850,True
418851,True
418852,True
418853,False
418854,True
418855,False
418856,True
418857,True
418858,False
418859,True
418860,False
418861,False
418862,True
418863,False
418864,True
418865,True
418866,False
418867,False
418868,False
418869,True
418870,False
