ID,RET
418595,False
418596,False
418597,True
418598,False
418599,True
418600,True
418601,True
418602,True
418603,True
418604,False
418605,False
418606,True
418607,False
418608,False
418609,True
418610,True
418611,False
418612,False
418613,False
418614,False
418615,False
418616,True
418617,False
418618,True
418619,False
418620,True
418621,True
418622,False
418623,True
418624,False
418625,False
418626,True
418627,True
418628,True
418629,False
418630,False
418631,True
418632,True
418633,False
418634,True
418635,True
418636,True
418637,True
418638,False
418639,True
418640,False
418641,False
418642,True
418643,True
418644,True
418645,True
418646,False
418647,True
418648,True
418649,True
418650,True
418651,True
418652,False
418653,True
418654,True
418655,True
418656,True
418657,True
418658,True
418659,True
418660,False
418661,True
418662,True
418663,True
418664,True
418665,False
418666,True
418667,True
418668,True
418669,True
418670,True
418671,False
418672,True
418673,True
418674,True
418675,True
418676,True
418677,True
418678,True
418679,False
418680,True
418681,True
418682,True
418683,True
418684,True
418685,True
418686,True
418687,False
418688,False
418689,False
418690,False
418691,True
418692,False
418693,True
418694,False
418695,True
418696,False
418697,True
418698,False
418699,True
418700,False
418701,True
418702,False
418703,False
418704,False
418705,False
418706,False
418707,True
418708,False
418709,False
418710,False
418711,True
418712,True
418713,True
418714,True
418715,True
418716,True
418717,False
418718,False
418719,False
418720,True
418721,False
418722,False
418723,False
418724,False
418725,True
418726,False
418727,True
418728,True
418729,True
418730,True
418731,False
418732,False
418733,False
418734,False
418735,False
418736,False
418737,False
418738,True
418739,False
418740,False
418741,True
418742,False
418743,False
418744,True
418745,False
418746,True
418747,True
418748,False
418749,True
418750,True
418751,False
418752,False
418753,False
418754,True
418755,True
418756,False
418757,True
418758,False
418759,True
418760,False
418761,False
418762,True
418763,True
418764,True
418765,True
418766,False
418767,False
418768,False
418769,False
418770,True
418771,True
418772,False
418773,True
418774,False
418775,True
418776,False
418777,False
418778,True
418779,False
418780,False
418781,False
418782,True
418783,False
418784,False
418785,False
418786,False
418787,True
418788,True
418789,True
418790,False
418791,True
418792,True
418793,False
418794,True
418795,False
418796,True
418797,False
418798,False
418799,True
418800,False
418801,False
418802,False
418803,True
418804,False
418805,False
418806,False
418807,False
418808,False
418809,False
418810,True
418811,False
418812,False
418813,False
418814,False
418815,True
418816,True
418817,True
418818,False
418819,True
418820,False
418821,True
418822,False
418823,False
418824,False
418825,True
418826,True
418827,True
418828,False
418829,False
418830,False
418831,True
418832,False
418833,True
418834,False
418835,True
418836,False
418837,True
418838,True
418839,True
418840,True
418841,True
418842,True
418843,False
418844,True
418845,False
418846,False
418847,False
418848,False
418849,True
418850,True
418851,True
418852,False
418853,True
418854,True
418855,False
418856,True
418857,True
418858,True
418859,False
418860,False
418861,False
418862,True
418863,False
418864,True
418865,True
418866,False
418867,False
418868,False
418869,False
418870,False
418871,True
418872,False
418873,True
418874,False
418875,False
418876,False
418877,True
418878,False
418879,False
418880,True
418881,True
418882,True
418883,True
418884,False
418885,False
418886,True
418887,False
418888,True
418889,True
418890,True
418891,False
418892,False
418893,False
418894,False
418895,True
418896,False
418897,True
418898,False
418899,True
418900,False
418901,False
418902,False
418903,True
418904,False
418905,False
418906,False
418907,True
418908,True
418909,False
418910,False
418911,True
418912,False
418913,True
418914,False
418915,False
418916,False
418917,False
418918,False
418919,False
418920,False
418921,True
418922,False
418923,False
418924,False
418925,False
418926,False
418927,False
418928,False
418929,False
418930,True
418931,True
418932,True
418933,False
418934,False
418935,True
418936,False
418937,True
418938,True
418939,False
418940,False
418941,False
418942,True
418943,False
418944,False
418945,False
418946,True
418947,True
418948,False
418949,False
418950,True
418951,True
418952,False
418953,False
418954,True
418955,False
418956,False
418957,False
418958,True
418959,True
418960,True
418961,False
418962,False
418963,True
418964,False
418965,True
418966,False
418967,False
418968,False
418969,False
418970,False
418971,True
418972,True
418973,False
418974,True
418975,False
418976,False
418977,False
418978,True
418979,False
418980,True
418981,False
418982,False
418983,False
418984,False
418985,False
418986,False
418987,False
418988,True
418989,False
418990,False
418991,True
418992,False
418993,True
418994,False
418995,False
418996,False
418997,True
418998,False
418999,True
419000,False
419001,False
419002,False
419003,False
419004,True
419005,False
419006,False
419007,False
419008,True
419009,False
419010,False
419011,False
419012,False
419013,False
419014,False
419015,False
419016,True
419017,False
419018,True
419019,False
419020,True
419021,True
419022,True
419023,False
419024,False
419025,False
419026,False
419027,True
419028,True
419029,True
419030,False
419031,True
419032,True
419033,True
419034,False
419035,False
419036,True
419037,False
419038,True
419039,False
419040,False
419041,True
419042,True
419043,True
419044,False
419045,True
419046,True
419047,True
419048,True
419049,False
419050,True
419051,True
419052,False
419053,False
419054,False
419055,False
419056,True
419057,True
419058,True
419059,False
419060,False
419061,False
419062,False
419063,True
419064,False
419065,False
419066,True
419067,False
419068,False
419069,False
419070,True
419071,True
419072,False
419073,False
419074,False
419075,False
419076,True
419077,False
419078,False
419079,True
419080,True
419081,True
419082,True
419083,True
419084,False
419085,True
419086,False
419087,False
419088,True
419089,False
419090,True
419091,False
419092,False
419093,True
419094,False
419095,True
419096,False
419097,True
419098,False
419099,False
419100,False
419101,True
419102,False
419103,False
419104,True
419105,False
419106,True
419107,True
419108,False
419109,False
419110,True
419111,True
419112,True
419113,False
419114,False
419115,False
419116,False
419117,False
419118,False
419119,True
419120,True
419121,False
419122,False
419123,False
419124,False
419125,False
419126,False
419127,False
419128,False
419129,False
419130,False
419131,True
419132,True
419133,False
419134,True
419135,True
419136,True
419137,True
419138,False
419139,True
419140,True
419141,True
419142,False
419143,True
419144,True
419145,True
419146,False
419147,False
419148,True
